trial_nr	onset	event_type	phase	response	nr_frames	n	jitter	start_marker_position	response_time	onset_abs	duration
0	0.0022241249680519104	instruction	0		31					1.3576266672462225	0.5109880827367306
0	0.5132122077047825	instruction	1		162					1.868614749982953	2.701317791827023
0	3.2145299995318055	instruction	0		31					4.569932541809976	0.516395416110754
0	3.7309254156425595	instruction	1		164					5.08632795792073	2.7301586670801044
1	6.461084082722664	stim	0		61	10.0				7.8164866250008345	1.0183640830218792
1	7.479448165744543	stim	1		80	10.0				8.834850708022714	1.335752417333424
2	8.815200583077967	stim	0		61	40.0				10.170603125356138	1.0141386250033975
2	9.829339208081365	stim	1		64	40.0				11.184741750359535	1.06682354118675
0	10.896162749268115	instruction	0		31					12.251565291546285	0.5169812915846705
0	11.413144040852785	instruction	1		331					12.768546583130956	5.511847083456814
0	16.9249911243096	instruction	0		31					18.28039366658777	0.5220649586990476
0	17.447056083008647	instruction	1		43					18.802458625286818	0.7173078330233693
1	18.164363916032016	fixation1	0		19	24.0				19.519766458310187	0.3159254174679518
1	18.480289333499968	fixation2	1		18	24.0				19.83569187577814	0.2963628750294447
1	18.776652208529413	stimulus	2		122	24.0				20.132054750807583	2.6364909997209907
1	19.379834040999413	response	3		36	24.0				20.735236583277583	
1	21.413143208250403	feedback	4	33	30	24.0				22.768545750528574	0.49998420756310225
2	21.913127415813506	fixation1	0		18	17.0				23.268529958091676	0.3007590835914016
2	22.213886499404907	fixation2	1		18	17.0				23.569289041683078	0.29924641642719507
2	22.513132915832102	stimulus	2		160	17.0				23.868535458110273	3.267041167244315
2	23.113270041532815	response	3		36	17.0				24.468672583810985	
2	25.780174083076417	feedback	4	13	29	17.0				27.135576625354588	0.5007802080363035
3	26.28095429111272	fixation1	0		18	25.0				27.63635683339089	0.2993677919730544
3	26.580322083085775	fixation2	1		18	25.0				27.935724625363946	0.2975718332454562
3	26.87789391633123	stimulus	2		100	25.0				28.233296458609402	2.268754624761641
3	27.479820790700614	response	3		36	25.0				28.835223332978785	
3	29.146648541092873	feedback	4	15	31	25.0				30.502051083371043	0.5276757916435599
0	29.674324332736433	get_score	0		1					31.029726875014603	0.02154316660016775
0	29.6958674993366	score	1		48					31.05127004161477	0.8002877086400986
0	30.4961552079767	instruction	0		31					31.85155775025487	0.5177752915769815
0	31.01393049955368	instruction	1		316					32.36933304183185	5.2655022498220205
0	36.2794327493757	instruction	0		31					37.63483529165387	0.5171233750879765
0	36.79655612446368	instruction	1		19					38.15195866674185	0.3176237503066659
1	37.11417987477034	fixation1	0		19	12.0	0.0	36.0		38.469582417048514	0.31526983343064785
1	37.42944970820099	fixation2	1		18	12.0	0.0	36.0		38.78485225047916	0.29622687492519617
1	37.72567658312619	stimulus	2		36	12.0	0.0	36.0		39.08107912540436	0.6043279161676764
1	38.330004499293864	jitter	3		140	12.0	0.0	36.0		39.685407041572034	2.366646791808307
1	38.33191774971783	response	4		0	12.0	0.0	36.0		39.687320291996	
1	40.69665129110217	feedback	5	14	29	12.0	0.0	36.0	2.342065333388746	42.05205383338034	0.500840624794364
1	41.197491915896535	iti	6	14	0	12.0	0.0	36.0	2.342065333388746	42.552894458174706	0.0044323755428195
2	41.201924291439354	fixation1	0		18	15.0	0.0	28.0		42.557326833717525	0.2941091665998101
2	41.496033458039165	fixation2	1		18	15.0	0.0	28.0		42.851436000317335	0.296034375205636
2	41.7920678332448	stimulus	2		36	15.0	0.0	28.0		43.14747037552297	0.6045477502048016
2	42.3966155834496	jitter	3		93	15.0	0.0	28.0		43.75201812572777	1.5495119160041213
2	42.39811662491411	response	4		0	15.0	0.0	28.0		43.75351916719228	
2	43.94612749945372	feedback	5	22	31	15.0	0.0	28.0	1.5318703334778547	45.301530041731894	0.5166432503610849
2	44.46277074981481	iti	6	22	0	15.0	0.0	28.0	1.5318703334778547	45.81817329209298	0.0036049578338861465
3	44.466375707648695	fixation1	0		18	32.0	0.0	12.0		45.821778249926865	0.29627112578600645
3	44.7626468334347	fixation2	1		18	32.0	0.0	12.0		46.11804937571287	0.2981156250461936
3	45.060762458480895	stimulus	2		36	32.0	0.0	12.0		46.416165000759065	0.6017722906544805
3	45.662534749135375	jitter	3		140	32.0	0.0	12.0		47.017937291413546	2.3333647092804313
3	45.663860166445374	response	4		0	32.0	0.0	12.0		47.019262708723545	
3	47.995899458415806	feedback	5	31	29	32.0	0.0	12.0	2.3102528750896454	49.35130200069398	0.502481666393578
3	48.498381124809384	iti	6	31	0	32.0	0.0	12.0	2.3102528750896454	49.853783667087555	0.0019021248444914818
0	48.500283249653876	get_score	0		1					49.855685791932046	0.012025208212435246
0	48.51230845786631	score	1		275					49.86771100014448	4.583853208459914
0	53.096161666326225	instruction	0		30					54.451564208604395	0.5010216664522886
0	53.59718333277851	instruction	1		833					54.952585875056684	13.878481457941234
0	67.47566479071975	instruction	0		30					68.83106733299792	0.5213504172861576
0	67.9970152080059	instruction	1		751					69.35241775028408	12.511086707934737
0	80.50810191594064	instruction	0		30					81.86350445821881	0.5219770837575197
0	81.03007899969816	instruction	1		142					82.38548154197633	2.36735862493515
