trial_nr	onset	event_type	phase	response	nr_frames	n	onset_abs	duration
0	0.003063916228711605	instruction	0		31		0.9628565413877368	0.5098811676725745
0	0.5129450839012861	instruction	1		1		1.4727377090603113	0.0165089163929224
0	0.5294540002942085	instruction	0		31		1.4892466254532337	0.5167129579931498
0	1.0461669582873583	instruction	1		1		2.0059595834463835	0.016386291943490505
1	1.0625532502308488	fixation1	0		18	19.0	2.022345875389874	0.30136924982070923
1	1.363922500051558	fixation2	1		19	19.0	2.323715125210583	0.31517920829355717
1	1.6791017083451152	stimulus	2		1	19.0	2.6388943335041404	0.616741000674665
1	2.2790600834414363	response	3		36	19.0	3.2388527086004615	
1	2.29584270901978	feedback	4	20	31	19.0	3.2556353341788054	0.5168828321620822
2	2.8127255411818624	fixation1	0		18	14.0	3.7725181663408875	0.30077520851045847
2	3.113500749692321	fixation2	1		18	14.0	4.073293374851346	0.2931203758344054
2	3.4066211255267262	stimulus	2		1	14.0	4.366413750685751	0.622374958358705
2	4.01229437533766	response	3		34	14.0	4.9720870004966855	
2	4.028996083885431	feedback	4	21	31	14.0	4.9887887090444565	0.5170766245573759
3	4.546072708442807	fixation1	0		17	24.0	5.505865333601832	0.2842801669612527
3	4.83035287540406	fixation2	1		19	24.0	5.790145500563085	0.31087762489914894
3	5.141230500303209	stimulus	2		1	24.0	6.101023125462234	0.6217397078871727
3	5.745734999887645	response	3		36	24.0	6.70552762504667	
3	5.7629702081903815	feedback	4	13	31	24.0	6.722762833349407	0.5233311671763659
0	6.286301375366747	get_score	0		1		7.246094000525773	0.0031419163569808006
0	6.289443291723728	score	1		1		7.249235916882753	0.022896166890859604
