trial_nr,onset,event_type,phase,response,nr_frames,n,jitter,start_marker_position,response_time,total_reward,onset_abs,duration
0,0.002352125011384487,instruction,0,,30,,,,,,1.3023840002715588,0.5038327081128955
0,0.50618483312428,instruction,1,,25,,,,,,1.8062167083844543,0.41614833287894726
0,0.9223331660032272,instruction,0,,31,,,,,,2.2223650412634015,0.5164344999939203
0,1.4387676659971476,instruction,1,,8,,,,,,2.738799541257322,0.12803595885634422
1,1.5668036248534918,stim,0,,61,10.0,,,,,2.866835500113666,1.021657457575202
1,2.5884610824286938,stim,1,,52,10.0,,,,,3.888492957688868,0.8628710005432367
2,3.4513320829719305,stim,0,,61,25.0,,,,,4.751363958232105,1.0201798332855105
2,4.471511916257441,stim,1,,6,25.0,,,,,5.771543791517615,0.09988262504339218
0,4.571394541300833,instruction,0,,30,,,,,,5.8714264165610075,0.5014002081006765
0,5.07279474940151,instruction,1,,30,,,,,,6.372826624661684,0.5000895829871297
0,5.5728843323886395,instruction,0,,31,,,,,,6.872916207648814,0.5159536255523562
0,6.088837957940996,instruction,1,,40,,,,,,7.38886983320117,0.6668240828439593
1,6.755662040784955,fixation1,0,,19,10.0,,,,,8.05569391604513,0.31644495856016874
1,7.072106999345124,fixation2,1,,18,10.0,,,,,8.372138874605298,0.29530595801770687
1,7.367412957362831,stimulus,2,,157,10.0,,,,,8.667444832623005,3.237329834140837
1,7.972198457457125,response,3,,36,10.0,,,,,9.2722303327173,
1,10.604742791503668,feedback,4,11,31,10.0,,,,,11.904774666763842,0.5175712909549475
2,11.122314082458615,fixation1,0,,17,10.0,,,,,12.42234595771879,0.2839889591559768
2,11.406303041614592,fixation2,1,,18,10.0,,,,,12.706334916874766,0.2949822908267379
2,11.70128533244133,stimulus,2,,74,10.0,,,,,13.001317207701504,1.8316387087106705
2,12.305770041421056,response,3,,36,10.0,,,,,13.60580191668123,
2,13.532924041152,feedback,4,10,31,10.0,,,,,14.832955916412175,0.5227875001728535
3,14.055711541324854,fixation1,0,,18,22.0,,,,,15.355743416585028,0.3008407913148403
3,14.356552332639694,fixation2,1,,18,22.0,,,,,15.656584207899868,0.2960164174437523
3,14.652568750083447,stimulus,2,,137,22.0,,,,,15.95260062534362,2.881980499252677
3,15.25472966581583,response,3,,36,22.0,,,,,16.554761541076005,
3,17.534549249336123,feedback,4,22,31,22.0,,,,,18.834581124596298,0.5211293334141374
0,18.05567858275026,instruction,0,,30,,,,,,19.355710458010435,0.5004652496427298
0,18.55614383239299,instruction,1,,158,,,,,,19.856175707653165,2.632388833910227
0,21.188532666303217,instruction,0,,31,,,,,,22.48856454156339,0.516328708268702
0,21.70486137457192,instruction,1,,37,,,,,,23.004893249832094,0.6173480832949281
1,22.322209457866848,fixation1,0,,19,17.0,0.0,25.0,,,23.622241333127022,0.31760116666555405
1,22.6398106245324,fixation2,1,,18,17.0,0.0,25.0,,,23.939842499792576,0.2929883748292923
1,22.932798999361694,stimulus,2,,36,17.0,0.0,25.0,,,24.232830874621868,0.6056925831362605
1,23.538491582497954,jitter,3,,127,17.0,0.0,25.0,,,24.83852345775813,2.117034417577088
1,23.540182416327298,response,4,,0,17.0,0.0,25.0,,,24.840214291587472,
1,25.655526000075042,feedback,5,22,31,17.0,0.0,25.0,2.0993310417979956,,26.955557875335217,0.5166005408391356
1,26.172126540914178,iti,6,22,0,17.0,0.0,25.0,2.0993310417979956,,27.472158416174352,0.0028262920677661896
2,26.174952832981944,fixation1,0,,18,24.0,0.0,13.0,,,27.47498470824212,0.29769262485206127
2,26.472645457834005,fixation2,1,,17,24.0,0.0,13.0,,,27.77267733309418,0.28023137524724007
2,26.752876833081245,stimulus,2,,37,24.0,0.0,13.0,,,28.05290870834142,0.6185260834172368
2,27.371402916498482,jitter,3,,117,24.0,0.0,13.0,,,28.671434791758657,1.9503283742815256
2,27.37285962421447,response,4,,0,24.0,0.0,13.0,,,28.672891499474645,
2,29.321731290780008,feedback,5,24,27,24.0,0.0,13.0,1.933078708127141,,30.621763166040182,0.5163627499714494
2,29.838094040751457,iti,6,24,0,24.0,0.0,13.0,1.933078708127141,,31.13812591601163,0.0013484172523021698
3,29.83944245800376,fixation1,0,,18,17.0,0.0,10.0,,,31.139474333263934,0.2999239582568407
3,30.1393664162606,fixation2,1,,18,17.0,0.0,10.0,,,31.439398291520774,0.2932115001603961
3,30.432577916420996,stimulus,2,,36,17.0,0.0,10.0,,,31.73260979168117,0.6057213749736547
3,31.03829929139465,jitter,3,,107,17.0,0.0,10.0,,,32.338331166654825,1.778135416097939
3,31.039989832788706,response,4,,0,17.0,0.0,10.0,,,32.34002170804888,
3,32.81643470749259,feedback,5,12,31,17.0,0.0,10.0,1.7679609581828117,,34.116466582752764,0.5460152504965663
3,33.362449957989156,iti,6,12,0,17.0,0.0,10.0,1.7679609581828117,,34.66248183324933,0.001467791385948658
0,33.363917749375105,get_score,0,,1,,,,,0.42413793114000004,34.66394962463528,0.002753250300884247
0,33.36667099967599,score,1,,214,,,,,0.42413793114000004,34.66670287493616,3.573430291377008
